	E. coli Homolog Accession	E. coli Homolog Gene Name	E-Value
Q72HW4	P69367	MDTH	0.0093
Q72IM8	P09831	GLTB	3.1e-166
Q72JQ5	P0AD68	FTSI	0.00065
Q746C5	P0AD68	FTSI	0.00065
Q72HW8	P0AD68	FTSI	0.00065
Q746A2	P0AD68	FTSI	0.00065
Q746K9	P0AD68	FTSI	0.00065
Q72L51	P0AD68	FTSI	0.00065
Q72J80	P0AA67	RHTA	0.00078
Q72HH4	P76042	YCJN	2.3e-06
Q72KI2	P76042	YCJN	2.3e-06
Q72ID9	P0AEY1	MARC	3.8e-23
Q72GV0	P0AEY1	MARC	3.8e-23
Q72J33	P27828	WECB	2.1e-91
Q72KE9	P27828	WECB	2.1e-91
Q72GN1	P27828	WECB	2.1e-91
Q72JF4	P0AGJ2	TRMH	5.1e-07
Q746I0	P41443	GSPH	1.3e-05
Q72HJ7	P0ABW0	HCAC	3e-18
Q72GH1	P0ABW0	HCAC	3e-18
Q72LM6	P28304	QOR1	2.4e-06
Q72HD0	P28304	QOR1	2.4e-06
Q72K17	P76084	PAAI	3.9e-25
Q72GQ3	P0AC13	DHPS	3.7e-71
Q72HP4	P0AEY3	MAZG	0.0025
Q72IX4	P0ADX1	YHFA	6.6e-27
Q72GS4	P0ADX1	YHFA	6.6e-27
Q72KZ1	P0ADX1	YHFA	6.6e-27
Q72KJ6	P0ADX1	YHFA	6.6e-27
Q72IV2	P0ADX1	YHFA	6.6e-27
Q72GH7	P10151	LEUO	4.7e-05
Q72KA5	P10151	LEUO	4.7e-05
Q72KB8	P68644	FIXC	7.9e-05
Q72J01	P00946	MANA	0.00082
Q72JE4	P02919	PBPB	0.00067
Q72LQ1	P43340	YCAK	2.5e-05
Q72GD7	P0AFE0	NUOJ	9.9e-20
Q72IY5	P77608	MHPD	1.3e-05
Q72IG1	P30850	RNB	7.4e-14
Q72J13	P77672	LSRC	4.0
Q72GP3	P77672	LSRC	4.0
Q72K54	P77672	LSRC	4.0
Q72J59	P0AF16	MURJ	2.3e-27
Q72KN3	P30126	LEUD	7.2e-06
Q746K8	P77460	YBCY	0.00012
Q72JK5	P77460	YBCY	0.00012
Q72LE0	P77460	YBCY	0.00012
Q72J29	P37675	YIAN	2.1e-19
Q746G2	P37675	YIAN	2.1e-19
Q72GX4	P0AFL1	POTI	1.6e-05
Q72IB4	P0AFL1	POTI	1.6e-05
Q72JJ2	Q46908	YGCR	5.5e-12
Q72HE0	P0AG03	UBIX	2.4e-52
Q72J37	P0AG03	UBIX	2.4e-52
Q72KM4	P0A6L2	DAPA	6.4e-24
Q72KX9	P0A9D8	DAPD	0.51
Q72KZ8	Q2EEQ3	YAHH	0.0018
Q72G99	P0AC55	GLNK	2.4e-29
Q72HY8	P0AC55	GLNK	2.4e-29
Q745W3	P0ACR4	YEIE	7.4e-06
Q72K12	P76077	PAAA	1.5e-10
Q746F0	P76077	PAAA	1.5e-10
Q72LB2	P76077	PAAA	1.5e-10
Q72J63	P76077	PAAA	1.5e-10
Q72HW6	P36566	CMOM	2.4e-06
Q72HN3	P36566	CMOM	2.4e-06
Q72KI7	P0AA25	THIO	6.5e-06
Q72IE9	P0AA25	THIO	6.5e-06
Q72HH3	P64581	YQJD	1.1e-05
Q72GV3	P76633	YGCW	4.4e-06
Q72KU4	P76633	YGCW	4.4e-06
Q72IG7	P76633	YGCW	4.4e-06
Q72IU0	P0AFP9	YBHR	5.4e-07
Q72JV5	P0AFP9	YBHR	5.4e-07
Q72IZ6	P0AFP9	YBHR	5.4e-07
Q72K04	P13482	TREA	0.11
Q72JD0	P63417	YHBS	2.4e-06
Q72KY8	P63417	YHBS	2.4e-06
Q72GB0	P63417	YHBS	2.4e-06
Q72LL7	P31068	FLIH	0.22
Q72H28	P31068	FLIH	0.22
Q72HU2	P31068	FLIH	0.22
Q745X3	P31068	FLIH	0.22
Q72KZ3	P31068	FLIH	0.22
Q72LP4	P31068	FLIH	0.22
Q745S8	P31068	FLIH	0.22
Q72IP4	Q46948	YAJL	3.5e-07
Q72G95	Q46948	YAJL	3.5e-07
Q72LF2	P07762	GLGB	5.1e-09
Q72HR7	P07762	GLGB	5.1e-09
Q72KY0	P27828	WECB	1.3e-53
Q72JF6	P0ACZ2	ETP	1.9e-22
Q72JL9	P0ACZ2	ETP	1.9e-22
Q72JS4	P76418	YEGU	5e-13
Q72HK1	P76418	YEGU	5e-13
Q746G6	P76418	YEGU	5e-13
Q72H61	P17115	GUTQ	0.17
Q72IX1	P17115	GUTQ	0.17
Q72IZ5	P32153	FRVX	8.7e-06
Q72KZ4	P32153	FRVX	8.7e-06
Q72JV6	P32153	FRVX	8.7e-06
Q72I24	P0AGA2	SECY	2e-102
Q72GT6	P0A9D8	DAPD	1.9
Q745X9	P0A9D8	DAPD	1.9
Q72JB7	P0A9D8	DAPD	1.9
Q72H34	P0A9D8	DAPD	1.9
Q72HQ2	P0A9D8	DAPD	1.9
Q72JQ2	P0AC78	WECA	5.4e-09
Q72KS9	P0AC78	WECA	5.4e-09
Q72JC9	P51020	HOA	2.5e-12
Q72IE2	P51020	HOA	2.5e-12
Q72G87	P0AGI8	TRKA	6e-07
Q72GC3	P0AGI8	TRKA	6e-07
Q72JN2	P0AGI8	TRKA	6e-07
Q72H45	P76342	MSRP	9.3e-09
Q72LC0	P76342	MSRP	9.3e-09
Q72HQ9	P76342	MSRP	9.3e-09
Q72LP8	P10905	UGPA	0.0001
Q72KB7	P12996	BIOB	0.029
Q746K4	P52037	YGFF	2.5e-05
Q72KB6	P52037	YGFF	2.5e-05
Q746C4	P52037	YGFF	2.5e-05
Q72KS7	P52037	YGFF	2.5e-05
Q72L11	P52037	YGFF	2.5e-05
Q72H82	P75849	GLO22	3e-14
Q72H69	P0A976	CSPF	1.1e-07
Q72GC1	P0A976	CSPF	1.1e-07
Q72IG6	P0A976	CSPF	1.1e-07
Q746B9	P0A976	CSPF	1.1e-07
Q72LN5	P0A9C0	GLPA	1.7e-05
Q72JQ0	P0ABG7	RODA	6.4e-41
Q72IS2	P0ABG7	RODA	6.4e-41
Q746A9	P0ABG7	RODA	6.4e-41
Q72JF8	P0ABG7	RODA	6.4e-41
Q72H77	P76502	SIXA	3.7e-06
Q72H40	P21369	PNCA	3.6e-10
Q72HR8	P0AAT6	IOJAP	1.7e-19
Q72JS0	P0AFU8	RISA	2.5e-35
Q72II6	P0A8X2	YCEI	2.8e-10
Q72HX8	P0A8X2	YCEI	2.8e-10
Q746E9	P0A8X2	YCEI	2.8e-10
Q72HW9	P0A8X2	YCEI	2.8e-10
Q72L36	P39172	ZNUA	1.1e-23
Q72JQ3	P39172	ZNUA	1.1e-23
Q72H65	P31120	GLMM	1.9e-11
Q72GL1	P31120	GLMM	1.9e-11
Q72IY9	P33025	PSUG	1.8e-05
Q72KW0	P33025	PSUG	1.8e-05
Q72HM9	P07000	PLDB	5.1e-06
Q745V0	P07000	PLDB	5.1e-06
Q72HK6	P07000	PLDB	5.1e-06
Q72KI1	P0ABF1	PCNB	1.5e-17
Q745S9	P0ABF1	PCNB	1.5e-17
Q746E8	P0ABF1	PCNB	1.5e-17
Q72HN1	P10906	UGPE	2.6e-06
Q745T6	P32138	SQASE	9.9e-05
Q72G83	P37690	ENVC	9.4e-07
Q72J07	P37690	ENVC	9.4e-07
Q72IP6	P37690	ENVC	9.4e-07
Q72LG8	P65556	YFCD	7.5e-05
Q72H12	P65556	YFCD	7.5e-05
Q72H15	P76117	YNCG	5.1e-06
Q72KQ0	P0AD96	LIVJ	3.2e-20
Q72IJ8	P14081	SELB	1.6e-05
Q72IB1	P14081	SELB	1.6e-05
Q72L74	P0DP21	YJIP	2.9e-05
Q72HN7	P10423	IAP	0.01
Q72I74	P78067	YNJE	0.0045
Q72L24	P0ACU0	CECR	8.5e-05
Q72IT8	P0ACU0	CECR	8.5e-05
Q72IS8	P0ACU0	CECR	8.5e-05
Q72LC1	P0AG18	PURE	1.3e-68
Q72ID7	P0ABQ0	COABC	1.2e-82
Q72HE1	Q47146	FADE	9.8e-14
Q72JX5	P0AEC5	BARA	0.00033
Q72IU4	P32710	NRFE	3.7e-59
Q72IX7	P39407	YJJU	0.00017
Q72GK1	P0AD37	YFEC	3.4e-06
Q72LG9	P76090	YNBA	1.2e-06
Q72GT0	P0ABU0	MENB	3.7e-10
Q72K77	P0ABU0	MENB	3.7e-10
Q72KF0	P52134	YPJK	1.4e-05
Q746A3	P52134	YPJK	1.4e-05
Q72LI4	P25714	YIDC	4.8e-44
Q72HS1	P45769	YHDZ	2.4e-06
Q72L09	P0AB80	ILVE	0.074
Q72JP6	P0AB80	ILVE	0.074
Q72HR9	P0AB80	ILVE	0.074
Q72K10	P76079	PAAC	2.7e-06
Q72GA2	P75763	YBHI	2.6e-06
Q72IE0	P0ABD5	ACCA	2.4e-09
Q72KA6	P0ABD5	ACCA	2.4e-09
Q72L29	P0ABD5	ACCA	2.4e-09
Q746A6	P0ABD5	ACCA	2.4e-09
Q72GE3	P0AEE3	DEGS	8e-30
Q72IN6	P0AEE3	DEGS	8e-30
Q72HQ3	P0AEE3	DEGS	8e-30
Q72IS4	P0AEE3	DEGS	8e-30
Q72J36	P0AEE3	DEGS	8e-30
Q72IU2	P0AEE3	DEGS	8e-30
Q72JH2	P00909	TRPC	2.4e-36
Q72HA2	P0A9P4	TRXB	9.5e-05
Q745U3	P0A9P4	TRXB	9.5e-05
Q72HL3	P0A9P4	TRXB	9.5e-05
Q72KU7	P0AFS3	FOLM	4.4e-08
Q72GR6	P00926	SDHD	1.3e-05
Q72GH9	P00926	SDHD	1.3e-05
Q72GQ8	P37676	YIAO	1.4e-08
Q72KY5	P37676	YIAO	1.4e-08
Q72JE1	P37676	YIAO	1.4e-08
Q72HL9	P31131	YDEJ	3e-15
Q72GN8	P76112	MNAT	3e-05
Q72I58	P0A8F0	UPP	3.5e-06
Q72L91	Q47208	FDRA	5.9e-08
Q72H26	Q47208	FDRA	5.9e-08
Q72LJ6	P0AEW6	INGK	1.6e-05
Q72JU2	P13009	METH	1e-06
Q72IS9	P13009	METH	1e-06
Q72KZ6	P13009	METH	1e-06
Q745T7	P06864	BGA2	0.043
Q72ID0	P0ACJ8	CRP	5.8e-07
Q72GG2	P0ACJ8	CRP	5.8e-07
Q72LC8	P0AGK8	ISCR	5e-05
Q72JS6	P0AGK8	ISCR	5e-05
Q72IU7	P0AFB1	NLPI	5.3e-06
Q72KT5	P0AGG8	TLDD	1.5e-18
Q72KR1	P77608	MHPD	2e-05
Q72KI9	P35340	AHPF	6e-12
Q745U8	P35340	AHPF	6e-12
Q72I70	P35340	AHPF	6e-12
Q72K48	P23256	MALY	7.3e-05
Q72KS5	P0AEE3	DEGS	5.6e-16
Q72J49	P0AEE3	DEGS	5.6e-16
Q72K28	P0AEE3	DEGS	5.6e-16
Q72GY1	P0AEE3	DEGS	5.6e-16
Q72HM7	P32169	RHAD	1.9
Q72I35	P39314	YTFF	4.9e-05
Q72K63	P31553	CAIT	0.6
Q72HX6	P37617	ZNTA	1.1e-06
Q72GV7	P0AGE0	SSB	1.9e-19
Q72HI6	P0AGE0	SSB	1.9e-19
Q72I85	P0AC28	5FCL	4e-15
Q746N8	P0AC28	5FCL	4e-15
Q72HA5	P0AC28	5FCL	4e-15
Q746G9	P19319	NARZ	3.3
Q72J86	P52126	YFJK	5.8e-05
Q72J79	P05458	PTRA	2.2e-07
Q72H07	P32718	ALSK	6.2e-20
Q72IJ3	P0AFA2	NARX	5.8e-05
Q72HJ5	P60595	HIS5	0.0021
Q72KN0	P76397	MDTA	0.0001
Q72J45	P76397	MDTA	0.0001
Q72LQ2	P50465	END8	3.9e-06
Q72L28	P31808	YCIK	2.1e-09
Q72HJ9	P77689	SUFD	0.062
Q72LD5	P77689	SUFD	0.062
Q72K15	P0CF45	INSC6	1.2e-05
Q72G61	P31125	EAMA	0.018
Q72LP6	P76192	YDHV	9.6e-35
Q72H94	P76192	YDHV	9.6e-35
Q72KG7	P76192	YDHV	9.6e-35
Q72KJ1	P77718	THII	0.00014
Q72GZ3	P09163	YJAB	2.2e-05
Q72HW7	P09163	YJAB	2.2e-05
Q72GU3	P09163	YJAB	2.2e-05
Q72H08	P09163	YJAB	2.2e-05
Q72HZ2	P09163	YJAB	2.2e-05
Q72KK2	P13518	CSRD	8.1e-05
Q72K38	P13518	CSRD	8.1e-05
Q72GX7	P0A7H0	RECF	5.8e-28
Q72LA1	P18392	RSTB	4.5e-05
Q72HD5	P0AFP9	YBHR	0.009
Q72GU6	P0AFP9	YBHR	0.009
Q72GT9	P0AFP9	YBHR	0.009
Q72HC8	P0AFP9	YBHR	0.009
Q72LJ0	P0AFP9	YBHR	0.009
Q72KQ9	P77398	ARNA	5.6e-10
Q72KV0	P23877	FEPG	9.7e-40
Q72H72	P0AF24	NAGD	0.1
Q72IY8	P0AF24	NAGD	0.1
Q72GL4	P76192	YDHV	1.1e-42
Q72KS0	P26646	ACUI	6.1e-06
Q72KM7	P0ACR9	MPRA	7.3e-06
Q72IR2	P0AF12	MTNN	7.3e-08
Q72GT2	P0A717	KPRS	0.47
Q72GH5	P30852	SMF	2.8e-41
Q745Y6	P75869	SXY	0.0029
Q72JW0	P75869	SXY	0.0029
Q72HU6	P24174	MANC	1.9e-53
Q72H10	P24174	MANC	1.9e-53
Q72HH5	P24174	MANC	1.9e-53
Q72I76	P04079	GUAA	6.3e-05
Q72HG6	P0A705	IF2	2.0
Q746D1	P14294	TOP3	0.04
Q72IM0	P39830	YBAL	8.1e-12
Q745X4	P39830	YBAL	8.1e-12
Q72KI0	P39830	YBAL	8.1e-12
Q746J0	P39830	YBAL	8.1e-12
Q72IC6	P39830	YBAL	8.1e-12
Q72JW1	P39830	YBAL	8.1e-12
Q72LE6	P39830	YBAL	8.1e-12
Q72I84	P77247	HXPB	0.82
Q72JX3	P77211	CUSC	5.2e-05
Q72JN5	P77211	CUSC	5.2e-05
Q72KP4	P06999	PFKB	0.57
Q72IW5	P06999	PFKB	0.57
Q72HP5	P39381	YJIJ	6.5e-17
Q72HX2	P0AEL8	FIMZ	4.1e-05
Q72GS8	P77212	RCLA	0.00026
Q72H23	P0ABJ1	CYOA	1.1e-33
Q72JR8	P0ABB0	ATPA	1.6e-07
Q72H95	P0A7A9	IPYR	6.4e-50
Q72KC8	P0A7A9	IPYR	6.4e-50
Q72JL3	P0AFG6	ODO2	6e-05
Q72IR5	P77562	YAIW	1.1e-05
Q72L70	P0A940	BAMA	4.5e-09
Q72HV5	P0A940	BAMA	4.5e-09
Q72H68	P0AEX9	MALE	9.9e-09
Q72L73	P0AEX9	MALE	9.9e-09
Q72I45	P68183	MALG	0.31
Q72H71	P33644	PURNU	1e-37
Q745W8	P37007	YAGA	1.4e-08
Q72GE7	P0ADG7	IMDH	1.6e-05
Q72IT3	P31142	THTM	0.012
Q72HP0	P31142	THTM	0.012
Q72IA0	P31142	THTM	0.012
Q746A8	P31142	THTM	0.012
Q72KP8	P77044	MHPC	6.7e-05
Q72IS3	P31826	YDDA	0.14
Q72I68	P31826	YDDA	0.14
Q746D4	P31826	YDDA	0.14
Q72IB0	P20083	PARE	1.5e-145
Q72IC1	P00370	DHE4	3.1e-64
Q72HK3	P77337	YDIS	0.29
Q72K18	P31826	YDDA	0.13
Q746Q1	P0A6E9	BIOD2	0.0013
Q746L1	P24240	ASCB	2.2e-48
Q72L52	P31826	YDDA	0.042
Q72GS3	P75831	MACB	0.061
Q72HU9	P36655	DSBD	3.6
Q72H86	P0A988	DPO3B	3e-34
Q72K98	P0A9B6	E4PD	1e-92
Q72JD1	P51020	HOA	1.2e-09
Q72LA0	P0AG40	RIBF	5.9e-60
Q72LE2	P66899	DPAL	1.3e-05
Q72IJ4	P0AGA6	UHPA	0.0002
Q72H17	P0AFS3	FOLM	4.9e-05
Q72IX8	P00803	LEP	1.1e-05
Q72JH5	P0AFR0	RSSA	2.3e-23
Q72K57	P45522	KEFB	3.8e-19
Q72GY0	P17117	NFSA	1.2e-37
Q72HL0	P28306	MLTG	3.4e-31
Q72K76	P0A6J1	CYSC	7.8e-05
Q746L3	P77156	YDCU	0.00049
Q72K29	P27848	YIGL	7.5e-05
Q72JI0	P27833	WECE	2.3e-05
Q72KQ8	P52052	YGGR	3.6e-05
Q72I98	P0ACB2	HEM2	9.8e-88
Q72JF3	P0AD65	MRDA	0.0019
Q72JJ5	P0AD01	DCUR	0.00011
Q72HD4	P0AEP9	GLCD	0.00044
Q72H36	P45549	YHFW	1.3e-09
Q746P3	P0ACC1	PRMC	5.9e-08
Q72G81	P31474	HSRA	1.9e-05
